price_czk,district,size_m2,room_count,has_separate_kitchen,floor_number,total_floors,building_type,condition,ownership,furnished,elevator,has_balcony,has_terrace,has_cellar,has_parking
27000,Praha 9,90,2,False,1,3.0,Cihlová,Novostavba,Osobní,No,Unknown,False,False,False,True
26000,Praha 3,46,2,False,2,,Cihlová,Po rekonstrukci,Osobní,Unknown,Unknown,True,False,False,False
69000,Praha 5,205,6,True,3,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,True,False,False,False
70000,Praha 2,98,3,False,1,6.0,Cihlová,Novostavba,Osobní,Yes,Yes,True,False,True,True
18000,Praha 9,43,2,True,1,4.0,Cihlová,Novostavba,Osobní,No,Unknown,False,False,True,False
29300,Praha 7,70,4,True,2,,Cihlová,Dobrý,Osobní,Partially,Yes,False,False,False,False
47000,Praha 4,134,5,True,1,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
18000,Praha 4,43,2,True,5,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
24000,Praha 9,68,2,False,2,4.0,Cihlová,Novostavba,Osobní,Partially,Yes,False,False,True,True
23000,Praha 4,47,2,False,2,6.0,Cihlová,Velmi dobrý,Družstevní,Yes,Unknown,False,False,False,False
19990,Praha 4,43,2,False,5,,Panelová,Po rekonstrukci,Osobní,No,Yes,False,False,True,False
22990,Praha 7,70,3,True,3,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,True,False
16990,Praha 10,29,1,False,3,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,True
22490,Praha 4,63,3,False,10,,Panelová,Dobrý,Osobní,Yes,Yes,True,False,True,False
15490,Praha 8,24,1,False,2,,Smíšená,Novostavba,Osobní,No,Yes,True,False,True,False
17490,Praha 9,32,1,False,2,,Smíšená,Novostavba,Osobní,No,Yes,True,False,False,False
20990,Praha 8,56,3,True,3,,Panelová,Po rekonstrukci,Osobní,Yes,Yes,True,False,False,False
17990,Praha 10,37,2,False,4,,Panelová,Velmi dobrý,Družstevní,Yes,Yes,True,False,True,False
19700,Praha 7,44,2,False,6,,Cihlová,Po rekonstrukci,Osobní,No,Yes,False,False,False,False
17490,Praha 9,26,1,False,1,,Cihlová,Novostavba,Osobní,Unknown,Yes,False,False,False,False
23990,Praha 10,54,2,False,1,,Cihlová,Novostavba,Osobní,Yes,Yes,False,False,False,False
21500,Praha 10,48,2,False,2,6.0,Cihlová,Novostavba,Osobní,Yes,Yes,False,False,False,True
20000,Praha 6,42,2,False,6,14.0,Panelová,Po rekonstrukci,Osobní,Yes,Unknown,False,False,False,False
30000,Praha 5,82,3,False,5,6.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,False,False,True,False
27000,Praha 5,59,2,False,4,,Smíšená,Velmi dobrý,Osobní,Yes,Yes,True,False,True,False
25000,Praha 5,58,3,False,5,,Cihlová,Novostavba,Osobní,Unknown,Unknown,True,False,False,True
15300,Praha 8,26,1,False,3,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
100000,Praha 2,180,5,False,1,3.0,Cihlová,Dobrý,Osobní,Yes,Yes,False,True,False,False
100000,Praha 2,180,4,False,1,3.0,Cihlová,Dobrý,Osobní,Yes,Yes,False,True,False,False
19000,Praha 8,45,2,True,3,3.0,Cihlová,Po rekonstrukci,Osobní,Unknown,Unknown,False,False,True,False
30000,Praha 9,100,4,True,6,6.0,Cihlová,Velmi dobrý,Osobní,No,No,True,True,False,False
30900,Praha 2,48,2,False,5,,Cihlová,Dobrý,Osobní,Partially,Unknown,False,False,False,False
32000,Praha 9,77,2,False,9,10.0,Smíšená,Novostavba,Osobní,No,Yes,True,False,True,False
15000,Praha 9,43,1,False,3,6.0,Cihlová,Velmi dobrý,Osobní,No,No,True,False,False,False
24000,Praha 5,72,4,True,2,7.0,Panelová,Velmi dobrý,Osobní,No,Yes,False,False,False,False
34990,Praha 5,60,3,False,2,4.0,Smíšená,Po rekonstrukci,Osobní,Yes,Yes,False,False,True,False
26000,Praha 9,87,2,False,4,6.0,Cihlová,Velmi dobrý,Osobní,No,No,True,False,False,False
25000,Praha 9,82,2,False,3,6.0,Cihlová,Velmi dobrý,Osobní,No,No,True,False,False,False
16900,Praha 7,40,1,False,1,,Cihlová,Velmi dobrý,Osobní,No,No,False,False,False,False
13500,Praha 5,24,1,False,1,,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
35000,Praha 2,120,5,False,3,5.0,Cihlová,Po rekonstrukci,Osobní,No,Yes,False,False,False,False
21000,Praha 4,56,3,True,2,2.0,Cihlová,Po rekonstrukci,Družstevní,No,Unknown,False,False,True,False
28000,Praha 4,85,5,True,7,7.0,Panelová,Velmi dobrý,Osobní,Partially,Unknown,False,False,False,False
29900,Praha 10,86,5,True,2,3.0,Cihlová,Po rekonstrukci,Osobní,Partially,No,False,False,False,True
20500,Praha 5,43,2,False,1,8.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,False,False,True,False
23000,Praha 5,51,2,False,2,6.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,True,False,True,True
22000,Praha 9,53,2,False,4,8.0,Cihlová,Novostavba,Osobní,Partially,Unknown,True,False,False,False
25000,Praha 8,60,2,False,1,2.0,Cihlová,Velmi dobrý,Osobní,Partially,No,False,True,True,False
27000,Praha 4,90,4,True,2,2.0,Smíšená,Po rekonstrukci,Osobní,Partially,Unknown,False,True,False,True
22000,Praha 4,64,3,False,9,9.0,Panelová,Dobrý,Osobní,Partially,Yes,False,False,True,False
23000,Praha 7,42,1,False,10,,Smíšená,Novostavba,Osobní,Partially,Yes,True,True,True,True
25000,Praha 5,45,2,False,3,,Cihlová,Novostavba,Osobní,Unknown,Unknown,False,True,True,True
19500,Praha 4,70,3,True,2,,Cihlová,Po rekonstrukci,Osobní,Partially,Yes,False,False,False,False
18500,Praha 6,40,2,False,6,6.0,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,True,False
22000,Praha 6,47,3,True,6,1.0,Panelová,Dobrý,Osobní,No,Unknown,True,False,False,False
18900,Praha 6,45,2,True,3,4.0,Cihlová,Po rekonstrukci,Osobní,Partially,No,True,False,False,False
17000,Praha 9,28,1,False,5,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,True,False,False,False
22500,Praha 8,32,1,False,1,,Smíšená,Novostavba,Osobní,Unknown,Unknown,False,True,False,False
23000,Praha 4,60,2,False,1,1.0,Skeletová,Dobrý,Osobní,Partially,Unknown,False,True,False,False
24000,Praha 9,53,2,False,1,8.0,Skeletová,Velmi dobrý,Osobní,Partially,Yes,False,True,False,False
17900,Praha 6,38,2,False,0,4.0,Cihlová,Po rekonstrukci,Osobní,Partially,No,False,False,False,False
29000,Praha 3,65,2,False,2,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
26000,Praha 4,66,3,False,7,8.0,Panelová,Velmi dobrý,Osobní,Yes,Yes,False,False,True,False
15300,Praha 10,38,2,True,3,,Cihlová,Dobrý,Osobní,Unknown,Unknown,False,False,False,False
22000,Praha 5,42,2,False,3,6.0,Skeletová,Novostavba,Osobní,No,Yes,True,False,True,False
